Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
3179,"GE Krasner, ST Pope","A description of the model-view-controller user interface paradigm in the smalltalk-80 system",1988,"Journal of object oriented …","heaveneverywhere.com","http://heaveneverywhere.com/stp/PostScript/mvc.pdf","https://scholar.google.com/scholar?cites=5387738150440249096&as_sdt=2005&sciodt=2007&hl=en",324,"2023-02-26 08:06:35","PDF","","","",,,,,3179,90.83,1590,2,35,"This essay describes the Model-View-Controller (MVC) programming paradigm and methodology used in the Smalltalk-80TM programming system. MVC programming is the …","http://heaveneverywhere.com/stp/PostScript/mvc.pdf","https://scholar.google.com/scholar?q=related:CKfPZ00XxUoJ:scholar.google.com/&scioq=intitle:%22view+model%22&hl=en&as_sdt=2007"
178,"J Smith","Patterns-wpf apps with the model-view-viewmodel design pattern",2009,"MSDN magazine","","","https://scholar.google.com/scholar?cites=9777780009050957602&as_sdt=2005&sciodt=2007&hl=en",11,"2023-02-26 08:01:38","CITATION","","","",,,,,178,12.71,178,1,14,"","","https://scholar.google.com/scholar?q=related:IudlAx2nsYcJ:scholar.google.com/&scioq=intitle:viewmodel&hl=en&as_sdt=2007"
130,"K Thramboulidis","The 3+ 1 SysML view-model in model integrated mechatronics",2010,"Journal of Software Engineering and Applications","scirp.org","https://www.scirp.org/html/1354.html","https://scholar.google.com/scholar?cites=5342991724152410167&as_sdt=2005&sciodt=2007&hl=en",2,"2023-02-26 08:06:35","HTML","","","",,,,,130,10.00,130,1,13,"… tral view-model of the mechatronic system while the other … to address the requirements set by the 3+1 SysML view-model … the proposed view-model in the development of mechatronic …","https://www.scirp.org/html/1354.html","https://scholar.google.com/scholar?q=related:N9D0K6oeJkoJ:scholar.google.com/&scioq=intitle:%22view+model%22&hl=en&as_sdt=2007"
100,"M Veit, S Herrmann","Model-view-controller and object teams: A perfect match of paradigms",2003,"Proceedings of the 2nd international conference on …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/643603.643618","https://scholar.google.com/scholar?cites=13040929507865701043&as_sdt=2005&sciodt=2007&hl=en",353,"2023-02-26 08:06:35","","10.1145/643603.643618","","",,,,,100,5.00,50,2,20,"From the early days of object-oriented programming, the model-view-controller paradigm has been pursued for a clear design which separates different responsibilities within an …","https://dl.acm.org/doi/pdf/10.1145/643603.643618","https://scholar.google.com/scholar?q=related:s6o-KUuw-rQJ:scholar.google.com/&scioq=intitle:%22view+model%22&hl=en&as_sdt=2007"
90,"A Syromiatnikov, D Weyns","A journey through the land of model-view-design patterns",2014,"2014 IEEE/IFIP Conference on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6827095/","https://scholar.google.com/scholar?cites=8248703963249241612&as_sdt=2005&sciodt=2007&hl=en",30,"2023-02-26 08:06:35","","","","",,,,,90,10.00,45,2,9,"… (View Model), and handle rendering of the visual user interface (View). Furthermore, bind View and View Model … to have its own View Model, while each View Model can have several …","https://www.diva-portal.org/smash/get/diva2:738269/FULLTEXT01.pdf","https://scholar.google.com/scholar?q=related:DO7TEo1IeXIJ:scholar.google.com/&scioq=intitle:%22view+model%22&hl=en&as_sdt=2007"
65,"R Garofalo","Building enterprise applications with Windows Presentation Foundation and the model view ViewModel Pattern",2011,"","dl.acm.org","https://dl.acm.org/doi/abs/10.5555/2011888","https://scholar.google.com/scholar?cites=2659113404129597326&as_sdt=2005&sciodt=2007&hl=en",6,"2023-02-26 08:01:38","CITATION","10.5555/2011888","","",,,,,65,5.42,65,1,12,"Create rich, flexible, and maintainable line-of-business applications with the MVVM design patternSimplify and improve business application development by applying the MVVM …","","https://scholar.google.com/scholar?q=related:jtefbo0R5yQJ:scholar.google.com/&scioq=intitle:viewmodel&hl=en&as_sdt=2007"
62,"J Gossman","Introduction to Model/View/ViewModel pattern for building WPF apps",2005,"MSDN Blogs","","","https://scholar.google.com/scholar?cites=5509193918330341078&as_sdt=2005&sciodt=2007&hl=en",13,"2023-02-26 08:01:38","CITATION","","","",,,,,62,3.44,62,1,18,"","","https://scholar.google.com/scholar?q=related:1obSBK6WdEwJ:scholar.google.com/&scioq=intitle:viewmodel&hl=en&as_sdt=2007"
55,"E Sorensen, M Mikailesc","Model-view-ViewModel (MVVM) design pattern using Windows Presentation Foundation (WPF) technology",2010,"MegaByte Journal","","","https://scholar.google.com/scholar?cites=8579250979290245733&as_sdt=2005&sciodt=2007&hl=en",17,"2023-02-26 07:52:24","CITATION","","","",,,,,55,4.23,28,2,13,"","","https://scholar.google.com/scholar?q=related:ZWqEk0-fD3cJ:scholar.google.com/&scioq=intitle:mvvm&hl=en&as_sdt=2007"
46,"K Lu, N He, J Xue, J Dong…","Learning view-model joint relevance for 3D object retrieval",2015,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7024933/","https://scholar.google.com/scholar?cites=8795991778044431435&as_sdt=2005&sciodt=2007&hl=en",7,"2023-02-26 08:06:35","","","","",,,,,46,5.75,9,5,8,"… In this paper, we propose to jointly learn the view-model relevance among 3D objects for … relevance among 3D objects, in which the view/model graph weights can be also optimized in …","https://ueaeprints.uea.ac.uk/id/eprint/62623/1/Accepted_manuscript.pdf","https://scholar.google.com/scholar?q=related:S0yYQeujEXoJ:scholar.google.com/&scioq=intitle:%22view+model%22&hl=en&as_sdt=2007"
40,"T Lou","A comparison of Android native app architecture MVC, MVP and MVVM",2016,"Eindhoven University of Technology","research.tue.nl","https://research.tue.nl/files/48628529/Lou_2016.pdf","https://scholar.google.com/scholar?cites=1803893916514794777&as_sdt=2005&sciodt=2007&hl=en",1,"2023-02-26 07:52:24","PDF","","","",,,,,40,5.71,40,1,7,"… This thesis aims to provide a thorough analysis to find out whether MVP and MVVM … That is, MVP and MVVM are better than MVC on the selected three criteria. But for MVP and MVVM, …","https://research.tue.nl/files/48628529/Lou_2016.pdf","https://scholar.google.com/scholar?q=related:GT1aqvW3CBkJ:scholar.google.com/&scioq=intitle:mvvm&hl=en&as_sdt=2007"
