Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
40,"T Lou","A comparison of Android native app architecture MVC, MVP and MVVM",2016,"Eindhoven University of Technology","research.tue.nl","https://research.tue.nl/files/48628529/Lou_2016.pdf","https://scholar.google.com/scholar?cites=1803893916514794777&as_sdt=2005&sciodt=2007&hl=en",1,"2023-02-26 07:52:24","PDF","","","",,,,,40,5.71,40,1,7,"… This thesis aims to provide a thorough analysis to find out whether MVP and MVVM … That is, MVP and MVVM are better than MVC on the selected three criteria. But for MVP and MVVM, …","https://research.tue.nl/files/48628529/Lou_2016.pdf","https://scholar.google.com/scholar?q=related:GT1aqvW3CBkJ:scholar.google.com/&scioq=intitle:mvvm&hl=en&as_sdt=2007"
27,"M Aljamea, M Alkandari","MMVMi: A validation model for MVC and MVVM design patterns in iOS applications",2018,"IAENG Int. J. Comput. Sci","iaeng.org","https://www.iaeng.org/IJCS/issues_v45/issue_3/IJCS_45_3_03.pdf","https://scholar.google.com/scholar?cites=11320826897853503977&as_sdt=2005&sciodt=2007&hl=en",2,"2023-02-26 07:52:24","PDF","","","",,,,,27,5.40,14,2,5,"… the relation between MVVM objects. The model … MVVM objects was also validated. Further, this research provided some recommended solutions to satisfy the relations between MVVM …","https://www.iaeng.org/IJCS/issues_v45/issue_3/IJCS_45_3_03.pdf","https://scholar.google.com/scholar?q=related:6dk-UhWoG50J:scholar.google.com/&scioq=intitle:mvvm&hl=en&as_sdt=2007"
23,"G Arcos-Medina, J Menéndez, J Vallejo","Comparative Study of Performance and Productivity of MVC and MVVM design patterns",2018,"KnE Engineering","knepublishing.com","https://www.knepublishing.com/index.php/KnE-Engineering/article/view/1498","https://scholar.google.com/scholar?cites=3559133244786381480&as_sdt=2005&sciodt=2007&hl=en",3,"2023-02-26 07:52:24","","","","",,,,,23,4.60,8,3,5,"… MVVM y MVC ha permitido determinar que el patrón MVVM … funciones tanto para el patrón MVVM como para el patrón MVC; … en el patrón MVVM la acción afecta directamente a la vista. …","https://www.knepublishing.com/index.php/KnE-Engineering/article/view/1498/3383","https://scholar.google.com/scholar?q=related:qJLGO9SUZDEJ:scholar.google.com/&scioq=intitle:mvvm&hl=en&as_sdt=2007"
20,"XL Li, DL Chang, H Pen, XY Zhang…","Application of MVVM design pattern in MES",2015,"… Conference on Cyber …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7288144/","https://scholar.google.com/scholar?cites=8634687737139492548&as_sdt=2005&sciodt=2007&hl=en",4,"2023-02-26 07:52:24","","","","",,,,,20,2.50,4,5,8,"… The number of modified codes is dramatically reduced because of the using of MVVM design pattern. In this paper, MVVM design pattern for MES development is introduced and MVVM …","","https://scholar.google.com/scholar?q=related:xPaelr-S1HcJ:scholar.google.com/&scioq=intitle:mvvm&hl=en&as_sdt=2007"
25,"C Anderson","The model-view-viewmodel (mvvm) design pattern",2012,"Pro Business Applications with Silverlight 5","Springer","https://link.springer.com/chapter/10.1007/978-1-4302-3501-9_13","https://scholar.google.com/scholar?cites=14519220655234620428&as_sdt=2005&sciodt=2007&hl=en",5,"2023-02-26 07:52:24","","10.1007/978-1-4302-3501-9_13","","",,,,,25,2.27,25,1,11,"… to speed on the MVVM design pattern, but once you get the … Using the MVVM design pattern when you’re used to writing … at the theory behind the MVVM design pattern, then move onto …","","https://scholar.google.com/scholar?q=related:DBzGgkKifskJ:scholar.google.com/&scioq=intitle:mvvm&hl=en&as_sdt=2007"
7,"MISB Khairat, Y Priyadi, M Adrian","Usability Measurement in User Interface Design Using Heuristic Evaluation &Severity Rating (Case Study: Mobile TA Application based on MVVM)",2022,"2022 IEEE 12th Annual …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9720876/","https://scholar.google.com/scholar?cites=3591984728299140934&as_sdt=2005&sciodt=2007&hl=en",6,"2023-02-26 07:52:24","","","","",,,,,7,7.00,2,3,1,"Each User interface design needs to be tested, one of which is by using heuristic evaluation. Heuristic evaluation is used to test ten usability aspects of the application and a severity …","","https://scholar.google.com/scholar?q=related:RvflSBRL2TEJ:scholar.google.com/&scioq=intitle:mvvm&hl=en&as_sdt=2007"
6,"B Wisnuadhi, G Munawar…","Performance Comparison of Native Android Application on MVP and MVVM",2020,"International Seminar of …","atlantis-press.com","https://www.atlantis-press.com/proceedings/issat-20/125949769","https://scholar.google.com/scholar?cites=11069315499674413036&as_sdt=2005&sciodt=2007&hl=en",7,"2023-02-26 07:52:24","","","","",,,,,6,2.00,2,3,3,"… MVVM), but between MVP and MVVM which is better is still unclear. This study aims to compare the performance of MVP and MVVM … Based on experiments, the results show that MVVM …","https://www.atlantis-press.com/article/125949769.pdf","https://scholar.google.com/scholar?q=related:7KfRmMwbnpkJ:scholar.google.com/&scioq=intitle:mvvm&hl=en&as_sdt=2007"
16,"J Kouraklis","MVVM in Delphi",2016,"","Springer","https://link.springer.com/content/pdf/10.1007/978-1-4842-2214-0.pdf","https://scholar.google.com/scholar?cites=4244723608545042763&as_sdt=2005&sciodt=2007&hl=en",8,"2023-02-26 07:52:24","BOOK","10.1007/978-1-4842-2214-0","","",,,,,16,2.29,16,1,7,"… This book attempts to open the field of MVVM to Delphi developers. … MVVM pattern by first looking at a way to organize the different aspects of POSApp as they are understood by MVVM. …","http://ndl.ethernet.edu.et/bitstream/123456789/27465/1/8.pdf","https://scholar.google.com/scholar?q=related:S6EK6aFJ6DoJ:scholar.google.com/&scioq=intitle:mvvm&hl=en&as_sdt=2007"
21,"G Hall","Pro WPF and Silverlight MVVM: effective application development with Model-View-ViewModel",2011,"","Springer","https://link.springer.com/content/pdf/10.1007/978-1-4302-3163-9.pdf","https://scholar.google.com/scholar?cites=7721321466605126597&as_sdt=2005&sciodt=2007&hl=en",9,"2023-02-26 07:52:24","BOOK","10.1007/978-1-4302-3163-9","","",,,,,21,1.75,21,1,12,"This book was conceived from a need to explain the MVVM pattern and how it helps structure WPF and Silverlight applications. I had worked on a number of projects where these …","","https://scholar.google.com/scholar?q=related:xcOY7fakJ2sJ:scholar.google.com/&scioq=intitle:mvvm&hl=en&as_sdt=2007"
9,"J Kouraklis, J Kouraklis","MVVM as Design Pattern",2016,"MVVM in Delphi: Architecting and Building Model …","Springer","https://link.springer.com/chapter/10.1007/978-1-4842-2214-0_1","https://scholar.google.com/scholar?cites=15701641068301192893&as_sdt=2005&sciodt=2007&hl=en",10,"2023-02-26 07:52:24","","10.1007/978-1-4842-2214-0_1","","",,,,,9,1.29,5,2,7,"… If we attempt to look at the rowing machine under the MVVM paradigm in an educational approach, what … This transformation of data is the job of the ViewModel in the MVVM domain. …","","https://scholar.google.com/scholar?q=related:vQ7HWlxv59kJ:scholar.google.com/&scioq=intitle:mvvm&hl=en&as_sdt=2007"
12,"B Gao, S Zhang, N Yao","A multidimensional pivot table model based on MVVM pattern for rich internet application",2012,"2012 International Symposium on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6228239/","https://scholar.google.com/scholar?cites=11107836872867236861&as_sdt=2005&sciodt=2007&hl=en",11,"2023-02-26 07:52:24","","","","",,,,,12,1.09,4,3,11,"… a multidimensional Pivot table model based on MVVM pattern, discusses the structures and … This paper proposes an interactive subsystem design solution based on MVVM pattern and …","","https://scholar.google.com/scholar?q=related:_cs8tsj2JpoJ:scholar.google.com/&scioq=intitle:mvvm&hl=en&as_sdt=2007"
13,"R Vice, MS Siddiqi","MVVM Survival Guide for Enterprise Architectures in Silverlight and WPF",2012,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=EC0on5ZY7zkC&oi=fnd&pg=PT13&dq=mvvm&ots=vxZ-gXtcVW&sig=0JksWPuOkUu-LVi5hJ6X0XGHd5U","https://scholar.google.com/scholar?cites=6309282595021141584&as_sdt=2005&sciodt=2007&hl=en",12,"2023-02-26 07:52:24","BOOK","","","",,,,,13,1.18,7,2,11,"… from the first chapter using MVVM. We will then look at some of the benefits and cost of using MVVM. We will finish off the chapter by taking a quick look at the MVVM Light open source …","","https://scholar.google.com/scholar?q=related:UDbKlxcTj1cJ:scholar.google.com/&scioq=intitle:mvvm&hl=en&as_sdt=2007"
7,"W Sun, H Chen, W Yu","The Exploration and Practice of MVVM Pattern on Android Platform",2017,"2016 4th International Conference on …","atlantis-press.com","https://www.atlantis-press.com/proceedings/icmmita-16/25868250","https://scholar.google.com/scholar?cites=647544394224578495&as_sdt=2005&sciodt=2007&hl=en",13,"2023-02-26 07:52:24","","","","",,,,,7,1.17,2,3,6,"… This paper compared the commonality and variability of MVVM with the commonly used MVC … jar techniques and the use of MVVM pattern on Android platform was explored. Three key …","https://www.atlantis-press.com/article/25868250.pdf","https://scholar.google.com/scholar?q=related:vy8NGjKK_AgJ:scholar.google.com/&scioq=intitle:mvvm&hl=en&as_sdt=2007"
