Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
3,"Muhammad Irsyad Sabiqun Bil Khairat, Y. Priyadi, M. Adrian","Usability Measurement in User Interface Design Using Heuristic Evaluation & Severity Rating (Case Study: Mobile TA Application based on MVVM)",2022,"","","","",1,"2023-02-26 08:28:03","","10.1109/CCWC54503.2022.9720876","","",,,,,3,3.00,1,3,1,"Each User interface design needs to be tested, one of which is by using heuristic evaluation. Heuristic evaluation is used to test ten usability aspects of the application and a severity rating to determine the magnitude of the user interface problems of the application. There are problems with usability in the TA mobile application. It was starting from the current user interface display, which is unresponsive (88%). Furthermore, some icons do not match the icon name and information (83%). There is an accumulation of information on one page, especially on the home page, where users need excessive scrolling (72%). So it is necessary to redesign the user interface design in order to meet user needs. This study aims to determine the suitability of the TA trial mobile application with user requirements through requirements elicitation (observation and questionnaires) and testing with heuristic evaluation & severity rating to measure the usability of the TA mobile application. This research has produced seven Functional Requirements, four Non-Functional Requirements, and Use Case diagrams involving three actors and eleven Use Cases. In addition, for the MVVM implementation, we have implemented interface design, for example, applied to the LoginAction class to avoid using ENUM. The implementation of View on ‘SignInButton,’ ‘usernameView,’ and ‘passwordView’ to create actions and states, and implementation of RxViewModel as the basis of all ViewMode. In the final stage of this research, usability and severity measurements have been successfully carried out, which are included in the category with a rating = 1 (cosmetic problem).","",""
0,"Hammamul Achdan Epiloksa, D. S. Kusumo, M. Adrian","Effect Of MVVM Architecture Pattern on Android Based Application Performance",2022,"","","","",2,"2023-02-26 08:28:03","","10.30865/mib.v6i4.4545","","",,,,,0,0.00,0,3,1,"The performance of android-based mobile applications is very important to pay attention to because performance will be related to how users will feel the experience of the application. This relates to memory usage and CPU usage on android devices when using applications. There are several ways used to improve the performance of android-based mobile applications, one of which is by applying an architecture pattern. The use of the right architecture is expected to produce good performance for android devices when running an application. Therefore, the author conducted a study on whether the application of the MVVM architecture pattern by changing the program code with the refactoring method will affect memory usage, CPU, and code execution time in Android-based applications. This is implemented using the Android Studio application and using android profiler tools to measure the performance of the application.","",""
0,"Muhamad Reinaldy Hermawan, Muhammad Nabil Akbar Pratama, Muhammad Raihan Rahman, Ariyadi","Pengembangan Aplikasi Deteksi Pelanggaran Protokol Covid-19 dengan metode Convolutional Neural Network berbasis Arsitektur MVVM",2022,"","","","",3,"2023-02-26 08:28:03","","10.35718/specta.v6i1.696","","",,,,,0,0.00,0,4,1,"Pada zaman modern ini banyak tempat umum yang memiliki banyak pengunjung setiap harinya. Namun, dikarenakan rasio petugas yang tidak sebanding dengan pengunjung, maka dibutuhkanlah sebuah alat pembantu untuk mendeteksi pelanggaran yang terjadi di tempat umum. Maka dikembangkanlah aplikasi Android VisiTrack. Aplikasi ini mendeteksi pelanggaran yang terjadi di tempat umum lewat kamera CCTV yang telah disambungkan dengan model pembelajaran mesin pada layanan cloud. Ketika pelanggaran berhasil dideteksi, maka layanan cloud akan mengirimkan notifikasi kepada aplikasi Android sehingga pelanggaran yang terjadi bisa diatasi oleh petugas yang sedang bekerja. Aplikasi ini juga menerapkan pola arsitektur MVVM sehingga pengembangan dapat dilakukan dengan lebih mudah dan dokumentasi dapat diikuti dengan mudah. Hasil jadi dari aplikasi ini memiliki tingkat akurasi sebesar 95.59% dan sudah berhasil untuk mengirimkan notifikasi pelanggaran yang terdeteksi ke telepon genggam petugas.","",""
0,"Amy Wilson, Fadi Wedyan, Safwan Omari","An Empirical Evaluation and Comparison of the Impact of MVVM and MVC GUI Driven Application Architectures on Maintainability and Testability",2022,"","","","",4,"2023-02-26 08:28:03","","10.1109/IDSTA55301.2022.9923083","","",,,,,0,0.00,0,3,1,"Model View Controller (MVC) and Main-View-ViewModel (MVVM) are two similar, but different, architectural frameworks that utilize differing sets of components to produce a graphical user interface driven application. The primary difference between these two architectures resides in MVC’s use of a controller, MVVM’s use of a viewmodel, and how these two components interact with their respective views. These differing usages are factors that effect how tightly coupled their layered systems are and effects the ability to test and maintain systems built using these architectures. This paper seeks to explain both frameworks, evaluate a sample code base, collect metrics, and then compare the testability and maintainability of both architectures.","",""
0,"","Application of MVVM Mode in CMP Monitoring System",2022,"","","","",5,"2023-02-26 08:28:03","","10.47939/et.v3i6(02).43","","",,,,,0,0.00,0,0,1,"","",""
0,"F. Maulana, Rita Afyenni, Aldo Erianda","Aplikasi Manajemen Laboratorium Menggunakan Metode MVVM Berbasis Android",2022,"","","","",6,"2023-02-26 08:28:03","","10.30630/jitsi.3.3.94","","",,,,,0,0.00,0,3,1,"Teknologi informasi sangat berperan besar terhadap segala aspek di dunia saat ini. Dengan teknologi dapat mempermudah manusia dalam mengelola data secara cepat dan efektif. Terutama pada teknologi pengelolaan data berbasis android. Karena pada umumnya masyarakat telah menggunakan smartphone android. Laboratorium, merupakan fasilitas pendukung pembelajaran praktek mahasiswa.Untuk mendukung  laboratorium dibutuhkan aplikasi yang dapat mengelola pelaporan kerusakan dengan cepat, pengadaan alat laboratorium dan mengelola jadwal laboratorium","",""
0,"Naufal Rasyid, Aaqila Dhiyaanisafa Goenawan","Sistem Pencatatan Keuangan Aplikasi Android Dengan Menggunakan Design Pattern Model-View-View-Model (MVVM), Room Database, SharedPreference dan API.",2022,"","","","",7,"2023-02-26 08:28:03","","10.55606/jtmei.v1i2.783","","",,,,,0,0.00,0,2,1,"Most of people in the world are familiar with smart phones or smartphones, and because of their very complete and practical uses, smartphone users are always increasing every year. Smartphones are used for various types of activities such as for social media, for entertainment such as playing games, doing office work, even personal matters such as financial management applications. Therefore, an application was created that can support personal financial recording so that it can make it easier for users.","",""
0,"Artyom Mikhailovich Miroshnikov, Andrey Dmitrievich Sokirka","COMPARISON OF WPF AND WINDOWS FORMS PLATFORMS. WPF DEVELOPMENT AND MVVM PATTERN",2022,"","","","",8,"2023-02-26 08:28:03","","10.46973/978-5-907295-76-6_2022_188","","",,,,,0,0.00,0,2,1,"","",""
0,"Ralph Steyer","Building web applications with Vue.js: MVVM patterns for conventional and single-page websites",2022,"","","","",9,"2023-02-26 08:28:03","","10.1007/978-3-658-37596-6","","",,,,,0,0.00,0,1,1,"","",""
0,"Ghani Rasyid Hika, Ida Bagus Gede Dwidasmara, I. G. Wibawa, I. K. G. Suhartana, I. P. B. Mahendra, M. A. Raharja","Pengembangan Aplikasi Rekomendasi Pet Shop Berbasis Android Menggunakan Arsitektur MVVM (Model-View-Viewmodel)",2022,"","","","",10,"2023-02-26 08:28:03","","10.24843/jlk.2022.v11.i02.p15","","",,,,,0,0.00,0,6,1,"At this time, keeping pets such as cats has become a lifestyle for pet lovers, sometimes many consider these pets as their own family. Therefore, pet owners always provide the best care for their beloved animals. Sometimes people are confused about which place is the best for their pet, which one is cheaper, which one is suitable for the type of pet, the benefits, and the location is not too far away. This system uses one of the methods in the Decision Support System. By using the Analytical Hierarchy Process (AHP) and Technique for Order Preference by Similarity to Ideal Solution (TOPSIS) methods in a Decision Support System, it is hoped that it can help solve problems in semi-structured areas such as the problems above. This study aims to assist users in determining which pet shop they want to visit.","",""
1,"Nagaki Kentaro, S. Fujita","Browser-Based Manipulation of Virtual Objects Through MVVM Architecture with Data Binding",2021,"","","","",11,"2023-02-26 08:28:03","","10.1109/CANDAR53791.2021.00026","","",,,,,1,0.50,1,2,2,"This paper considers the problem of sharing complex virtual objects among remote users through Web browsers. Although drag-and-drop of object is one of new features available in HTML5, it is not sufficient to realize the transformation of virtual objects consisting of several rigid bodies connected with joints, and for such a purpose, it is necessary to keep track of the location of the fulcrum of the rigid body object currently being grasped, and to set various attributes such as fulcrum and action points for each object, not just the 2D coordinates of the object on the screen. To realize such functionality, we focus on the data binding capability of interactive Web application framework based on the MVVM (Model-View-ViewModel) architecture and implement a prototype system using Vue.js as the concrete framework, Three.js as the library to handle 3D space in the Web browser, and Google Firestore as the database for data sharing among remote users. The result of experiments conducted on the prototype system indicates that we could realize the transformation information sharing within 300 ms on average.","",""
0,"Andrew Troelsen, Philip Japikse","WPF Notifications, Validations, Commands, and MVVM",2021,"","","","",12,"2023-02-26 08:28:03","","10.1007/978-1-4842-3018-3_28","","",,,,,0,0.00,0,2,2,"","",""
0,"Edo Arribe, Aryanto, Rudi Asrianto","APLIKASI E-MARKETPLACE MENGGUNAKAN ARSITEKTUR MVVM (MODEL-VIEW-VIEWMODEL) BERBASIS ANDROID",2021,"","","","",13,"2023-02-26 08:28:03","","10.37859/jf.v11i2.2762","","",,,,,0,0.00,0,3,2,"<jats:p>a</jats:p>","",""
0,"Sudipto Chakraborty, P. Aithal","MVVM Demonstration Using C# WPF",2023,"","","","",14,"2023-02-26 08:28:03","","10.47992/ijaeml.2581.7000.0163","","",,,,,0,0.00,0,2,1,"Purpose: Nowadays, MVVM (Model-View View-Model) is the proven architecture for distributed software development. It encourages the development of the software components by the different independent teams and easy integration at the final stage. The individual researcher prefers direct coding or tightly coupled software modules. The Model is rapid and efficient but might create maintainability issues later. So from day one, we should introduce the best design model. In this scenario, the MVVM model is the major player. Here, we present how to implement MVVM into our project through a simple task. We will design the user interface, which is part of the UX design team, and then add functionality, which is the programming part. Finally, we will do integration and execution. The code used in this project is available to download from GitHub.  Design/Methodology/Approach: We are creating a C# WPF project inside the visual studio community edition. Then we segregate our activity into two parts. In the first part, we make a Model for our project. After that, we design the user interface. The user interface interacts with the user to display the data and receive inputs from the user. It is the presentation or view layer. After completing it, we add the required view model interaction logic. Finally, we integrate all components and run the project.  Findings/Result: Through the research, we realize the importance of the MVVM concept. It is a good software architecture; the researcher who has gone through the documents will find out how to implement the MVVM into their project. Some essential procedures are presented concisely so they can be adopted quickly. This architecture is independent of any language. So once we grab it, it can be implemented in our project, whatever the language we use. Originality/Value: Several documents on MVVM design using WPF are available worldwide. Most of the documents are elaborative and descriptive. It is tricky to extract the required information from long-duration content as fast-track space. Here we demonstrate practically. Using the documents as a reference, the researcher can easily integrate the MVVM concept into their project.  Paper Type: Experimental-based Research.","",""
2,"Bambang Wisnuadhi, Ghifari Munawar, Ujang Wahyu","Performance Comparison of Native Android Application on MVP and MVVM",2020,"","","","",15,"2023-02-26 08:28:03","","10.2991/aer.k.201221.047","","",,,,,2,0.67,1,3,3,"The performance of the android application is one factor that needs to be considered because an android device has limited power, memory and resources. This is a challenge for developers to improve performance so that applications can run optimally. There are several architectures that are commonly used, namely MVC, MVP, and MVVM. Previous studies have measured performance among the three architectures, and it can be concluded that the performance of MVC < (MVP = MVVM), but between MVP and MVVM which is better is still unclear. This study aims to compare the performance of MVP and MVVM architectures measured from 3 (three) aspects, namely CPU usage, memory usage, and execution time. Based on experiments, the results show that MVVM performance is better at CPU usage and execution time, while MVP is better at memory usage. CPU usage in MVVM applications is lower with an average difference of 0.55%. Execution time in MVVM applications is faster with an average difference of 126.21 ms, while memory usage in MVP applications is lower with an average difference of 0.92 Mb. This happens because the MVVM architecture has an additional library (in the form of a data-binding) that can increase application response so that CPU usage and execution time are better, but another impact is its memory usage is higher than MVP.","",""
0,"Raúl Ferrer García","iOS Architecture Patterns: MVC, MVP, MVVM, VIPER, and VIP in Swift",2023,"","","","",16,"2023-02-26 08:28:03","","10.1007/978-1-4842-9069-9","","",,,,,0,0.00,0,1,1,"","",""
0,"Waseem Sheikh, Nadeem Sheikh","A Model-View-ViewModel (MVVM) Application Framework for Hearing Impairment Diagnosis - Design and Features",2020,"","","","",17,"2023-02-26 08:28:03","","10.1109/IETC47856.2020.9249124","","",,,,,0,0.00,0,2,3,"Around 466 million people worldwide (over 5% of the world's population) have disabling hearing loss, and out of these 34 million are children. Estimates suggest that by 2050, over 900 million people worldwide will have disabling hearing loss. The annual global cost of unaddressed hearing loss amounts to US$ 750 billion. Early detection of hearing loss can reduce its impact on an individual's life in addition to saving a huge cost. This paper, the first in a series of three papers, presents the design and features of an open-source application framework for hearing impairment diagnosis. The framework is built using the Model-View-ViewModel (MVVM) pattern which separates the development of graphical user interface (GUI) from the development of business and back-end logic. Some of the benefits of the MVVM pattern include reusable components, independent development of GUI and business or back-end logic, flexibility to modify GUI without having to change business or back-end logic, ease of unit testing, and reduced maintenance overhead. The proposed framework along with the open-source code makes it possible to easily extend the application functionality thus enabling other researchers and practitioners to develop their own versions of hearing loss diagnosis applications. The proposed software was evaluated by an otolaryngologist and found to be very beneficial in assisting a clinician to reach a hearing impairment diagnosis conclusion more methodically, swiftly and accurately.","",""
0,"M. S. Arif, A. Musthafa, D. Muriyatmoko","Implementation of Model-View-ViewModel (MVVM) Architecture Pattern in the Sistem Informasi Akademik UNIDA Gontor Mobile Application",2020,"","","","",18,"2023-02-26 08:28:03","","10.5281/ZENODO.3710686","","",,,,,0,0.00,0,3,3,"Software architecture primarily tuned for moderating the rising software complexities and changes. Model-View-ViewModel (MVVM) is a software architectural pattern that facilitates a separation of development of the graphical user interface from the development of the back-end logic (the data model). University of Darussalam Gontor (UNIDA Gontor) is having an Academic System called Sistem Informasi Akademik (SIAKAD) which supports the management of its college’s data administration. Currently, the SIAKAD UNIDA Gontor’s performance is still far from optimal, mainly because some of its features aren’t user-friendly yet, especially when the SIAKAD UNIDA Gontor accessed from the mobile devices. Therefore, this research aims to implement the MVVM architecture pattern in the SIAKAD UNIDA Gontor mobile application, to increase its user-friendly aspect, especially for Android device users. This research is carried out with Waterfall development method, using Kotlin programming language and utilising Android Jetpack. Results from the app testing with Black Box method show that the application is running well and have no error. Next, results from the questionnaire distributed to the users (students, lecturers and BAAK staffs) show that the application run well and satisfying. From those trial results, show that the implementation of MVVM on SIAKAD UNIDA Gontor Android application has been successful according to the scenario and ready to be applied in the even semester of 2019/2020 campus’ academic year and so on (https://play.google.com/store/apps/details?id=com.amoled.sidago). Further research and development, can be directed to the addition of new features and can support another mobile operating system, such as iOS, Tizen, Harmony OS, etc.","",""
0,"Wat Wongtanuwat, T. Senivongse","Detection of Violation of MVVM Design Pattern in Objective-C Programs",2020,"","","","",19,"2023-02-26 08:28:03","","10.1145/3411174.3411193","","",,,,,0,0.00,0,2,3,"In object-oriented software development, several design patterns are used to design software to solve different problems. The Model-View-ViewModel or MVVM pattern is a design pattern that can be used to design structure of software which comprises three components. The Model component holds application data. The View component displays visual elements and controls on the screen. The ViewModel component is the intermediary between the Model and View and transforms model information for display on a view. The advantages of this pattern are that there is a clear separation between domain logic in the Model and the display on the View, and tests and maintenance of different components are facilitated. However, there are several developers in a software development team, and not all developers use the MVVM pattern. This makes the code not compliant with the pattern and affects code maintenance. To help developers to revise the code to comply with the MVVM pattern, this paper has studied the MVVM design pattern, summarized principles of the pattern, and proposed the criteria to detect pattern violation in Objective-C code. An automated tool has been developed to detect MVVM violation and report violation locations in the code so that developers can revise the code to follow the pattern. An experiment shows that the tool performs satisfactorily in pattern violation detection, compared with manual detection, with the precision of 0.81, recall of 0.77, and F1 of 0.79.","",""
0,"Waseem Sheikh, Nadeem Sheikh","A Model-View-ViewModel (MVVM) Application Framework for Hearing Impairment Diagnosis - Class Inheritance Architecture",2020,"","","","",20,"2023-02-26 08:28:03","","10.1109/IETC47856.2020.9249215","","",,,,,0,0.00,0,2,3,"Around 466 million people worldwide (over 5% of the world's population) have disabling hearing loss, and out of these 34 million are children. Estimates suggest that by 2050, over 900 million people worldwide will have disabling hearing loss. The annual global cost of unaddressed hearing loss amounts to US$ 750 billion. Early detection of hearing loss can reduce its impact on an individual's life in addition to saving a huge cost. This paper, the last one in a series of three papers, presents the class inheritance architecture of an open-source application framework for hearing impairment diagnosis. The framework is built using the Model-View-ViewModel (MVVM) pattern which separates the development of graphical user interface (GUI) from the development of business and back-end logic. Some of the benefits of the MVVM pattern include reusable components, independent development of GUI and business or back-end logic, flexibility to modify GUI without having to change business or back-end logic, ease of unit testing, and reduced maintenance overhead. The proposed framework along with the open-source code makes it possible to easily extend the application functionality thus enabling other researchers and practitioners to develop their own versions of hearing loss diagnosis applications. The proposed software was evaluated by an otolaryngologist and found to be very beneficial in assisting a clinician to reach a hearing impairment diagnosis conclusion more methodically, swiftly and accurately.","",""
2,"M. E. Omari, M. Erramdani, Abdelkader Rhouati","Getting Model of MVVM Pattern from UML Profile",2020,"","","","",21,"2023-02-26 08:28:03","","10.3991/ijes.v8i1.13037","","",,,,,2,0.67,1,3,3,"The rejuvenation of applications to harmonize with technological watch is the major challenge for all computer boxes, frameworks and languages are constantly proliferating by offering a range of improvements in terms of security and performance, which pushes all applications to invest in order to align oneself, to orient oneself towards another perspective of application implementation has become a primacy. MVW is considered the new concept of application models where the developer can choose according to his needs, which component, for example, it can be a controller, a directive or a unit test for applications where we use the AngularJS framework, modeling an application is one of the basic steps to reach it , the emergence of new patterns press IT companies to think  to renew their application architecture for more security and performance, moving from an old to a new model meets this need. AngularJS is one of the widely used frameworks for modern single-page web application development which is designed to support dynamic views in the applications.We propose an UML profile for AngularJS for building a model of an AngularJS web application, and a set of transformations that transform the model into a code template.","",""
0,"Arrival Dwi Sentosa","SELF-LEARNING PERSONAL FINANCIAL ASSISTANT ANDROID APPLICATION USING MVVM ARCHITECTURAL PATTERN",2020,"","","","",22,"2023-02-26 08:28:03","","","","",,,,,0,0.00,0,1,3,"Personal Financial Management is an essential thing for everyone. Some of the  financial purposes are goal setting, money cash flow management, preparing for  children education or just for an investment. Most of people don’t know how to  manage it well then try to use an application to help manage it. But mostly such  these applications are not user friendly and confusing for some of us because some  of financial words that we don’t understand. To make a user friendly and good user  experience of user when using personal financial application, it can be applied the  Natural Language Processing (NLP). The utilization of NLP is able to use the  application easier, since NLP can predict user input means, give the suggestion and  prediction periodically to inform and approach the user to reach their own financial  goal. To perform the best result of NLP Implementation, there are two methods that  used: Intent Classification using SVM Algorithm and Named Entity Recognition  Conditional Random Field (NERCRF). The dataset used are trained based on user  input interaction inside the application and labeled based on features/intent in the  application such as: Cash flow input, Budgeting, Goals and Financial suggestion.  The prototype is developed for Android platform based on Model-View-  ViewModel Software Architectural Pattern as a best practice of Android  Development Architectural Pattern.  Key words:  Personal Financial Management, Intent Classification, Named Entity Recognition,  SVM Algorithm, Android, Model-View-ViewModel","",""
0,"A. Gunawan, A. Wijaya, Dellih Wijaya","Design and Build Customer Complain Applications for Mobile Based MVVM Architecture Method",2020,"","","","",23,"2023-02-26 08:28:03","","10.31253/TE.V3I2.297","","",,,,,0,0.00,0,3,3,"Abstract  PT. DhanaJaya BogaIndo has more than twenty restaurants spread across Jakarta, Surabaya and Australia. At present complaints regarding services and food served are still being done by providing limited criticism and suggestions during operational hours, so employees in the service section always record complaints and suggestions from customers who come to restaurants are accommodated, then convey related to food, service and the environment dirty one. related to customer complaints. Information on customer complaints can be received directly by management, so actions can be taken quickly.","",""
0,"Taurius Litvinavicius","MVVM",2020,"","","","",24,"2023-02-26 08:28:03","","10.1007/978-1-4842-6637-3_5","","",,,,,0,0.00,0,1,3,"","",""
