Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
6,"Y Wang, B Lian, H Zhang, Y Zhong, J He, F Wu…","A multi-view latent variable model reveals cellular heterogeneity in complex tissues for paired multimodal single-cell data",2023,"…","academic.oup.com","https://academic.oup.com/bioinformatics/article-abstract/39/1/btad005/6978155","https://scholar.google.com/scholar?cites=17842492854784567118&as_sdt=2005&sciodt=2007&hl=en",33,"2024-01-20 11:04:22","","","","",,,,,6,6.00,1,7,1,"… By taking advantage of both the information from RNA and antibodies with a multi-view model, VIMCCA accurately identified most of the 24 cell types, including a rare sub-cell type …","https://academic.oup.com/bioinformatics/article/39/1/btad005/6978155?login=true","https://scholar.google.com/scholar?q=related:TifhxLdEnfcJ:scholar.google.com/&scioq=intitle:mvvm%7Cintitle:%22view+model%22%7Cintitle:viewmodel&hl=en&as_sdt=2007&as_ylo=2023"
5,"N Armstrong-Crews, C Lauterbach…","Model for excluding vehicle from sensor field of view",2023,"US Patent …","Google Patents","https://patents.google.com/patent/US11693423B2/en","https://scholar.google.com/scholar?cites=13338472803461485138&as_sdt=2005&sciodt=2007&hl=en",26,"2024-01-20 11:04:22","","","","",,,,,5,5.00,2,3,1,"… The result is a sensor field of view model for a particular vehicle, which can be extended to other similar makes and models of that vehicle. This approach enables a vehicle to determine …","","https://scholar.google.com/scholar?q=related:UtKHMFjGG7kJ:scholar.google.com/&scioq=intitle:mvvm%7Cintitle:%22view+model%22%7Cintitle:viewmodel&hl=en&as_sdt=2007&as_ylo=2023"
5,"Y Xu, H Tan, F Luan, S Bi, P Wang, J Li, Z Shi…","Dmv3d: Denoising multi-view diffusion using 3d large reconstruction model",2023,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2311.09217","https://scholar.google.com/scholar?cites=1451864293291739699&as_sdt=2005&sciodt=2007&hl=en",30,"2024-01-20 11:04:22","","","","",,,,,5,5.00,1,8,1,"We propose \textbf{DMV3D}, a novel 3D generation approach that uses a transformer-based 3D large reconstruction model to denoise multi-view diffusion. Our reconstruction model …","https://arxiv.org/pdf/2311.09217",""
3,"R Fan, Y Ding, Q Zou, L Yuan","Multi-view local hyperplane nearest neighbor model based on independence criterion for identifying vesicular transport proteins",2023,"International Journal of Biological …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0141813023026685","https://scholar.google.com/scholar?cites=9301099681653001165&as_sdt=2005&sciodt=2007&hl=en",19,"2024-01-20 11:04:22","","","","",,,,,3,3.00,1,4,1,"… In our multi-view model, the fourth step was iterated until convergence. If the maximum number of iterations is set to M , the time complexity of this step is O M K 3 . The time complexity of …","",""
3,"Y Ding, F Guo, P Tiwari, Q Zou","Identification of drug-side effect association via multi-view semi-supervised sparse model",2023,"IEEE Transactions on Artificial …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10247599/","https://scholar.google.com/scholar?cites=14815457740142832626&as_sdt=2005&sciodt=2007&hl=en",28,"2024-01-20 11:04:22","","","","",,,,,3,3.00,1,4,1,"… (2) To reduce the impact of noisy data, multiple L2, 1/2- 116 matrix regularization terms are introduced to obtain a 117 more sparse multi-view model. An efficient iterative 118 …","",""
2,"RF García","MVVM: Model–View–ViewModel",2023,"iOS Architecture Patterns: MVC, MVP, MVVM, VIPER …","Springer","https://link.springer.com/chapter/10.1007/978-1-4842-9069-9_4","https://scholar.google.com/scholar?cites=5062677548084698422&as_sdt=2005&sciodt=2007&hl=en",1,"2024-01-20 11:04:22","","10.1007/978-1-4842-9069-9_4","","",,,,,2,2.00,2,1,1,"… The second block binds the title variable (such as Output) of the ViewModel to the text parameter of the UILabel element. Therefore, as we type, the text in the ViewModel is converted to …","","https://scholar.google.com/scholar?q=related:Nh3vIWg-QkYJ:scholar.google.com/&scioq=intitle:mvvm%7Cintitle:%22view+model%22%7Cintitle:viewmodel&hl=en&as_sdt=2007&as_ylo=2023"
2,"F Rinker, L Waltersdorfer, K Meixner, D Winkler…","Traceable Multi-view Model Integration: A Transformation Pipeline for Agile Production Systems Engineering",2023,"SN Computer …","Springer","https://link.springer.com/article/10.1007/s42979-022-01572-5","https://scholar.google.com/scholar?cites=7542541790708189502&as_sdt=2005&sciodt=2007&hl=en",5,"2024-01-20 11:04:22","HTML","10.1007/s42979-022-01572-5","","",,,,,2,2.00,0,5,1,"… multi-view model changes in PSE [15]. Therefore, the main goal of this paper is to design and evaluate an approach that facilitates traceable multi-view model transformations in agile …","https://link.springer.com/article/10.1007/s42979-022-01572-5","https://scholar.google.com/scholar?q=related:Pkmz6st9rGgJ:scholar.google.com/&scioq=intitle:mvvm%7Cintitle:%22view+model%22%7Cintitle:viewmodel&hl=en&as_sdt=2007&as_ylo=2023"
2,"X Li, Y Zhang, X Ye","DrivingDiffusion: Layout-Guided multi-view driving scene video generation with latent diffusion model",2023,"arXiv preprint arXiv:2310.07771","arxiv.org","https://arxiv.org/abs/2310.07771","https://scholar.google.com/scholar?cites=16477405739915869118&as_sdt=2005&sciodt=2007&hl=en",10,"2024-01-20 11:04:22","","","","",,,,,2,2.00,1,3,1,"… For training, we separately train the multi-view model and the … First, the multi-view model generates the initial multi-view … In post-processing, the ”fine-tune” multi-view model we trained …","https://arxiv.org/pdf/2310.07771",""
2,"A Isosalo, SI Inkinen, T Turunen, PS Ipatti…","Independent evaluation of a multi-view multi-task convolutional neural network breast cancer classification model using Finnish mammography screening data",2023,"Computers in Biology …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0010482523004882","https://scholar.google.com/scholar?cites=15178355956113996830&as_sdt=2005&sciodt=2007&hl=en",22,"2024-01-20 11:04:22","","","","",,,,,2,2.00,0,5,1,"… Multi-view model architecture. Images are inputted into the model so that the left side view representatives are flipped to have the same orientation as the right side view representatives. …","","https://scholar.google.com/scholar?q=related:Hvyb3lJapNIJ:scholar.google.com/&scioq=intitle:mvvm%7Cintitle:%22view+model%22%7Cintitle:viewmodel&hl=en&as_sdt=2007&as_ylo=2023"
2,"M Shariatfar, YC Lee","Urban-Level Data Interoperability for Management of Building and Civil Infrastructure Systems during the Disaster Phases Using Model View Definitions",2023,"Journal of Computing in Civil Engineering","ascelibrary.org","https://ascelibrary.org/doi/abs/10.1061/%28ASCE%29CP.1943-5487.0001040","https://scholar.google.com/scholar?cites=4825205760933315769&as_sdt=2005&sciodt=2007&hl=en",31,"2024-01-20 11:04:22","","10.1061/%28ASCE%29CP.1943-5487.0001040","","",,,,,2,2.00,1,2,1,"… The MVD library in this study currently encompasses the concepts from ACI, PCI, and AISC MVDs along with General Usage and Reference View model views. A library that is only …","","https://scholar.google.com/scholar?q=related:uUSZFBOT9kIJ:scholar.google.com/&scioq=intitle:mvvm%7Cintitle:%22view+model%22%7Cintitle:viewmodel&hl=en&as_sdt=2007&as_ylo=2023"
