Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
25,"C Anderson","The model-view-viewmodel (mvvm) design pattern",2012,"Pro Business Applications with Silverlight 5","Springer","https://link.springer.com/chapter/10.1007/978-1-4302-3501-9_13","https://scholar.google.com/scholar?cites=14519220655234620428&as_sdt=2005&sciodt=2007&hl=en",1,"2023-02-26 08:01:38","","10.1007/978-1-4302-3501-9_13","","",,,,,25,2.27,25,1,11,"… know only about the ViewModel, and the ViewModel should know only about the Model(s). In practice, however, this is rarely the case, with the ViewModel often presenting the Model(s) …","","https://scholar.google.com/scholar?q=related:DBzGgkKifskJ:scholar.google.com/&scioq=intitle:viewmodel&hl=en&as_sdt=2007"
2,"DC Lee, KM Seo, HM Park, BS Kim","Simulation testing of maritime cyber-physical systems: application of model-view-viewmodel",2022,"Complexity","hindawi.com","https://www.hindawi.com/journals/complexity/2022/1742772/","https://scholar.google.com/scholar?cites=639826783521018359&as_sdt=2005&sciodt=2007&hl=en",2,"2023-02-26 08:01:38","HTML","","","",,,,,2,2.00,1,4,1,"From the perspective of the system of systems development, system-level functional testing is required for designing subsystems. This study utilizes modeling and simulation techniques …","https://www.hindawi.com/journals/complexity/2022/1742772/","https://scholar.google.com/scholar?q=related:9xGN1REf4QgJ:scholar.google.com/&scioq=intitle:viewmodel&hl=en&as_sdt=2007"
21,"G Hall","Pro WPF and Silverlight MVVM: effective application development with Model-View-ViewModel",2011,"","Springer","https://link.springer.com/content/pdf/10.1007/978-1-4302-3163-9.pdf","https://scholar.google.com/scholar?cites=7721321466605126597&as_sdt=2005&sciodt=2007&hl=en",3,"2023-02-26 08:01:38","BOOK","10.1007/978-1-4302-3163-9","","",,,,,21,1.75,21,1,12,"This book was conceived from a need to explain the MVVM pattern and how it helps structure WPF and Silverlight applications. I had worked on a number of projects where these …","","https://scholar.google.com/scholar?q=related:xcOY7fakJ2sJ:scholar.google.com/&scioq=intitle:viewmodel&hl=en&as_sdt=2007"
11,"F Jarnjak","Notice of retraction: flexible GUI in robotics applications using Windows presentation foundation framework and model view ViewModel pattern",2010,"4th International Conference on New Trends in …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/5488625/","https://scholar.google.com/scholar?cites=6708231216734779121&as_sdt=2005&sciodt=2007&hl=en",4,"2023-02-26 08:01:38","","","","",,,,,11,0.85,11,1,13,"… To do a more involved change, we can create another ViewModel and … ViewModel object instance. Thus, main window XAML is minimally changed to register the new ViewModel and …","","https://scholar.google.com/scholar?q=related:8bap-L9sGF0J:scholar.google.com/&scioq=intitle:viewmodel&hl=en&as_sdt=2007"
8,"V Gaudioso","Mvvm: Model-view-viewmodel",2010,"Foundation Expression Blend 4 with Silverlight","Springer","https://link.springer.com/chapter/10.1007/978-1-4302-2974-2_15","https://scholar.google.com/scholar?cites=12766338954096555469&as_sdt=2005&sciodt=2007&hl=en",5,"2023-02-26 08:01:38","","10.1007/978-1-4302-2974-2_15","","",,,,,8,0.62,8,1,13,"The goal for this chapter is to provide an overview of MVVM and what new features in Blend 4 have been added to support developing applications using this software pattern. I first take …","","https://scholar.google.com/scholar?q=related:zTUoyaMlK7EJ:scholar.google.com/&scioq=intitle:viewmodel&hl=en&as_sdt=2007"
65,"R Garofalo","Building enterprise applications with Windows Presentation Foundation and the model view ViewModel Pattern",2011,"","dl.acm.org","https://dl.acm.org/doi/abs/10.5555/2011888","https://scholar.google.com/scholar?cites=2659113404129597326&as_sdt=2005&sciodt=2007&hl=en",6,"2023-02-26 08:01:38","CITATION","10.5555/2011888","","",,,,,65,5.42,65,1,12,"Create rich, flexible, and maintainable line-of-business applications with the MVVM design patternSimplify and improve business application development by applying the MVVM …","","https://scholar.google.com/scholar?q=related:jtefbo0R5yQJ:scholar.google.com/&scioq=intitle:viewmodel&hl=en&as_sdt=2007"
2,"W Sheikh, N Sheikh","A model-view-viewmodel (MVVM) application framework for hearing impairment diagnosis-Class inheritance architecture",2020,"2020 Intermountain Engineering …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9249215/","https://scholar.google.com/scholar?cites=11378142704964438651&as_sdt=2005&sciodt=2007&hl=en",7,"2023-02-26 08:01:38","","","","",,,,,2,0.67,1,2,3,"… the ViewModel class for the main application window, SearchWindowVM is the ViewModel class for the search window, SubTabVM is the abstract base class for the ViewModel classes …","","https://scholar.google.com/scholar?q=related:e4oblYFI550J:scholar.google.com/&scioq=intitle:viewmodel&hl=en&as_sdt=2007"
2,"W Sheikh, N Sheikh","A model-view-viewmodel (MVVM) application framework for hearing impairment diagnosis",2019,"arXiv preprint arXiv:1911.08289","arxiv.org","https://arxiv.org/abs/1911.08289","https://scholar.google.com/scholar?cites=5643757155431490613&as_sdt=2005&sciodt=2007&hl=en",8,"2023-02-26 08:01:38","","","","",,,,,2,0.50,1,2,4,"… on the ViewModel but is completely oblivious of the Model. The ViewModel is completely unaware of the View but it depends on the Model. The Model depends on the ViewModel but is …","https://arxiv.org/pdf/1911.08289","https://scholar.google.com/scholar?q=related:NSQQIDunUk4J:scholar.google.com/&scioq=intitle:viewmodel&hl=en&as_sdt=2007"
0,"M Fuksa","ViMoTest: a low code approach to specify ViewModel-based tests with a projectional DSL using JetBrains MPS",2022,"Proceedings of the 25th International Conference on …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3550356.3558513","",9,"2023-02-26 08:01:38","","10.1145/3550356.3558513","","",,,,,0,0.00,0,1,1,"… a low code approach using the ViewModel architectural pattern as an abstraction layer to … of the ViewModel under test in a more readable way. Information in a ViewModel can be …","https://dl.acm.org/doi/pdf/10.1145/3550356.3558513","https://scholar.google.com/scholar?q=related:s7v0jgd2BhcJ:scholar.google.com/&scioq=intitle:viewmodel&hl=en&as_sdt=2007"
0,"GML Hall, GML Hall","The ViewModel",2010,"… Development with Model-View-ViewModel","Springer","https://link.springer.com/content/pdf/10.1007/978-1-4302-3163-9_4.pdf","",10,"2023-02-26 08:01:38","","10.1007/978-1-4302-3163-9_4","","",,,,,0,0.00,0,2,13,"… In Chapter 3, we looked at the reasons for splitting model and view responsibilities and implementing a ViewModel to mediate between these layers. … Concentrating more fully …","","https://scholar.google.com/scholar?q=related:bzk74bYyvk8J:scholar.google.com/&scioq=intitle:viewmodel&hl=en&as_sdt=2007"
