Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
4122,"PB Kruchten","The 4+ 1 view model of architecture",1995,"IEEE software","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/469759/","https://scholar.google.com/scholar?cites=7946626274329771157&as_sdt=2005&sciodt=2007&hl=en",1,"2023-02-26 08:06:35","","","","",,,,,4122,147.21,4122,1,28,"The 4+1 View Model organizes a description of a software architecture using five concurrent views, each of which addresses a specific set of concerns. Architects capture their design …","https://arxiv.org/pdf/2006.04975","https://scholar.google.com/scholar?q=related:lTw2VH4WSG4J:scholar.google.com/&scioq=intitle:%22view+model%22&hl=en&as_sdt=2007"
130,"K Thramboulidis","The 3+ 1 SysML view-model in model integrated mechatronics",2010,"Journal of Software Engineering and Applications","scirp.org","https://www.scirp.org/html/1354.html","https://scholar.google.com/scholar?cites=5342991724152410167&as_sdt=2005&sciodt=2007&hl=en",2,"2023-02-26 08:06:35","HTML","","","",,,,,130,10.00,130,1,13,"… tral view-model of the mechatronic system while the other … to address the requirements set by the 3+1 SysML view-model … the proposed view-model in the development of mechatronic …","https://www.scirp.org/html/1354.html","https://scholar.google.com/scholar?q=related:N9D0K6oeJkoJ:scholar.google.com/&scioq=intitle:%22view+model%22&hl=en&as_sdt=2007"
187,"CJ Collins","Expanding the resource based view model of strategic human resource management",2021,"The International Journal of Human Resource …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/09585192.2019.1711442","https://scholar.google.com/scholar?cites=1640009401827599287&as_sdt=2005&sciodt=2007&hl=en",3,"2023-02-26 08:06:35","","10.1080/09585192.2019.1711442","","",,,,,187,93.50,187,1,2,"Strategic human resource management scholars have drawn on the resource-based view of the firm to argue that a high commitment human resource (HCHR) strategy leads to firm …","https://fardapaper.ir/mohavaha/uploads/2021/10/Fardapaper-Expanding-the-resource-based-view-model-of-strategic-human-resource-management.pdf","https://scholar.google.com/scholar?q=related:tyM8oNx7whYJ:scholar.google.com/&scioq=intitle:%22view+model%22&hl=en&as_sdt=2007"
73,"JA Voogt","Assessment of an urban sensor view model for thermal anisotropy",2008,"Remote Sensing of Environment","Elsevier","https://www.sciencedirect.com/science/article/pii/S003442570700212X","https://scholar.google.com/scholar?cites=3696846556486133104&as_sdt=2005&sciodt=2007&hl=en",4,"2023-02-26 08:06:35","","","","",,,,,73,4.87,73,1,15,"… Sensor view model … evaluate the performance of the SUM 3-D directional sensor view model for two urban land use areas; … The SUM directional sensor view model …","","https://scholar.google.com/scholar?q=related:cGV7PFvWTTMJ:scholar.google.com/&scioq=intitle:%22view+model%22&hl=en&as_sdt=2007"
56,"CR Ozansoy, A Zayegh, A Kalam","The application-view model of the international standard IEC 61850",2009,"IEEE Transactions on Power …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/4956969/","https://scholar.google.com/scholar?cites=17571296036132476703&as_sdt=2005&sciodt=2007&hl=en",5,"2023-02-26 08:06:35","","","","",,,,,56,4.00,19,3,14,"… In this paper, the authors describe the standard’s application-view model and present the use of OO methodology and techniques for the implementation of the Logical Node (LN) …","","https://scholar.google.com/scholar?q=related:H9fn7KXI2fMJ:scholar.google.com/&scioq=intitle:%22view+model%22&hl=en&as_sdt=2007"
91,"X Li, Q Liu, Z He, H Wang, C Zhang…","A multi-view model for visual tracking via correlation filters",2016,"Knowledge-Based Systems","Elsevier","https://www.sciencedirect.com/science/article/pii/S0950705116303318","https://scholar.google.com/scholar?cites=14015884451645785297&as_sdt=2005&sciodt=2007&hl=en",6,"2023-02-26 08:06:35","","","","",,,,,91,13.00,15,6,7,"… foundation about correlation filter, the multi-view model and a simple but effective scale evaluation. … The multi-view model makes our tracker more discriminative and robust to perturbed …","https://www.researchgate.net/profile/Qiao-Liu-5/publication/308343670_A_multi-view_model_for_visual_tracking_via_correlation_filters/links/59f72becaca272607e2bf821/A-multi-view-model-for-visual-tracking-via-correlation-filters.pdf","https://scholar.google.com/scholar?q=related:0YREQaZsgsIJ:scholar.google.com/&scioq=intitle:%22view+model%22&hl=en&as_sdt=2007"
46,"K Lu, N He, J Xue, J Dong…","Learning view-model joint relevance for 3D object retrieval",2015,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7024933/","https://scholar.google.com/scholar?cites=8795991778044431435&as_sdt=2005&sciodt=2007&hl=en",7,"2023-02-26 08:06:35","","","","",,,,,46,5.75,9,5,8,"… In this paper, we propose to jointly learn the view-model relevance among 3D objects for … relevance among 3D objects, in which the view/model graph weights can be also optimized in …","https://ueaeprints.uea.ac.uk/id/eprint/62623/1/Accepted_manuscript.pdf","https://scholar.google.com/scholar?q=related:S0yYQeujEXoJ:scholar.google.com/&scioq=intitle:%22view+model%22&hl=en&as_sdt=2007"
14,"M Hamdaqa, L Tahvildari","The (5+ 1) architectural view model for cloud applications.",2014,"CASCON","academia.edu","https://www.academia.edu/download/38286161/CASCON2014-The_5_1.pdf","https://scholar.google.com/scholar?cites=7980960152039889275&as_sdt=2005&sciodt=2007&hl=en",8,"2023-02-26 08:06:35","PDF","","","",,,,,14,1.56,7,2,9,"… need a view model that is constructed around deployment. This paper proposes a (5+1) architectural view model, … The (5+1) view model has been realized as a layered, domain specific …","https://www.academia.edu/download/38286161/CASCON2014-The_5_1.pdf","https://scholar.google.com/scholar?q=related:e5niLPkQwm4J:scholar.google.com/&scioq=intitle:%22view+model%22&hl=en&as_sdt=2007"
33,"T Górski","Architectural view model for an integration platform",2012,"Journal of Theoretical and applied Computer science","Citeseer","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=06fa4b0a9cee1027b30a16ce31a56a6e59db5d28","https://scholar.google.com/scholar?cites=12658244959594964715&as_sdt=2005&sciodt=2007&hl=en",9,"2023-02-26 08:06:35","PDF","","","",,,,,33,3.00,33,1,11,"The most common architectural view model is"" 4+ 1"" by Philipe Kruchten. This model presents the views required for a full description of computer system architecture. By contrast, this …","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=06fa4b0a9cee1027b30a16ce31a56a6e59db5d28","https://scholar.google.com/scholar?q=related:62aJeLkeq68J:scholar.google.com/&scioq=intitle:%22view+model%22&hl=en&as_sdt=2007"
27,"HP Chan, W Chen, I King","A unified dual-view model for review summarization and sentiment classification with inconsistency loss",2020,"Proceedings of the 43rd international ACM …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3397271.3401039","https://scholar.google.com/scholar?cites=11567892576615642369&as_sdt=2005&sciodt=2007&hl=en",10,"2023-02-26 08:06:35","","10.1145/3397271.3401039","","",,,,,27,9.00,9,3,3,"… To effectively leverage the shared sentiment information in both review summarization and sentiment classification tasks, we propose a novel dual-view model that jointly improves the …","https://dl.acm.org/doi/pdf/10.1145/3397271.3401039","https://scholar.google.com/scholar?q=related:AbUNVQJpiaAJ:scholar.google.com/&scioq=intitle:%22view+model%22&hl=en&as_sdt=2007"
