Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
178,"J Smith","Patterns-wpf apps with the model-view-viewmodel design pattern",2009,"MSDN magazine","","","https://scholar.google.com/scholar?cites=9777780009050957602&as_sdt=2005&sciodt=2007&hl=en",11,"2023-02-26 08:01:38","CITATION","","","",,,,,178,12.71,178,1,14,"","","https://scholar.google.com/scholar?q=related:IudlAx2nsYcJ:scholar.google.com/&scioq=intitle:viewmodel&hl=en&as_sdt=2007"
90,"A Syromiatnikov, D Weyns","A journey through the land of model-view-design patterns",2014,"2014 IEEE/IFIP Conference on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6827095/","https://scholar.google.com/scholar?cites=8248703963249241612&as_sdt=2005&sciodt=2007&hl=en",30,"2023-02-26 08:06:35","","","","",,,,,90,10.00,45,2,9,"… (View Model), and handle rendering of the visual user interface (View). Furthermore, bind View and View Model … to have its own View Model, while each View Model can have several …","https://www.diva-portal.org/smash/get/diva2:738269/FULLTEXT01.pdf","https://scholar.google.com/scholar?q=related:DO7TEo1IeXIJ:scholar.google.com/&scioq=intitle:%22view+model%22&hl=en&as_sdt=2007"
65,"R Garofalo","Building enterprise applications with Windows Presentation Foundation and the model view ViewModel Pattern",2011,"","dl.acm.org","https://dl.acm.org/doi/abs/10.5555/2011888","https://scholar.google.com/scholar?cites=2659113404129597326&as_sdt=2005&sciodt=2007&hl=en",6,"2023-02-26 08:01:38","CITATION","10.5555/2011888","","",,,,,65,5.42,65,1,12,"Create rich, flexible, and maintainable line-of-business applications with the MVVM design patternSimplify and improve business application development by applying the MVVM …","","https://scholar.google.com/scholar?q=related:jtefbo0R5yQJ:scholar.google.com/&scioq=intitle:viewmodel&hl=en&as_sdt=2007"
62,"J Gossman","Introduction to Model/View/ViewModel pattern for building WPF apps",2005,"MSDN Blogs","","","https://scholar.google.com/scholar?cites=5509193918330341078&as_sdt=2005&sciodt=2007&hl=en",13,"2023-02-26 08:01:38","CITATION","","","",,,,,62,3.44,62,1,18,"","","https://scholar.google.com/scholar?q=related:1obSBK6WdEwJ:scholar.google.com/&scioq=intitle:viewmodel&hl=en&as_sdt=2007"
55,"E Sorensen, M Mikailesc","Model-view-ViewModel (MVVM) design pattern using Windows Presentation Foundation (WPF) technology",2010,"MegaByte Journal","","","https://scholar.google.com/scholar?cites=8579250979290245733&as_sdt=2005&sciodt=2007&hl=en",17,"2023-02-26 07:52:24","CITATION","","","",,,,,55,4.23,28,2,13,"","","https://scholar.google.com/scholar?q=related:ZWqEk0-fD3cJ:scholar.google.com/&scioq=intitle:mvvm&hl=en&as_sdt=2007"
40,"T Lou","A comparison of Android native app architecture MVC, MVP and MVVM",2016,"Eindhoven University of Technology","research.tue.nl","https://research.tue.nl/files/48628529/Lou_2016.pdf","https://scholar.google.com/scholar?cites=1803893916514794777&as_sdt=2005&sciodt=2007&hl=en",1,"2023-02-26 07:52:24","PDF","","","",,,,,40,5.71,40,1,7,"… This thesis aims to provide a thorough analysis to find out whether MVP and MVVM … That is, MVP and MVVM are better than MVC on the selected three criteria. But for MVP and MVVM, …","https://research.tue.nl/files/48628529/Lou_2016.pdf","https://scholar.google.com/scholar?q=related:GT1aqvW3CBkJ:scholar.google.com/&scioq=intitle:mvvm&hl=en&as_sdt=2007"
27,"M Aljamea, M Alkandari","MMVMi: A validation model for MVC and MVVM design patterns in iOS applications",2018,"IAENG Int. J. Comput. Sci","iaeng.org","https://www.iaeng.org/IJCS/issues_v45/issue_3/IJCS_45_3_03.pdf","https://scholar.google.com/scholar?cites=11320826897853503977&as_sdt=2005&sciodt=2007&hl=en",2,"2023-02-26 07:52:24","PDF","","","",,,,,27,5.40,14,2,5,"… the relation between MVVM objects. The model … MVVM objects was also validated. Further, this research provided some recommended solutions to satisfy the relations between MVVM …","https://www.iaeng.org/IJCS/issues_v45/issue_3/IJCS_45_3_03.pdf","https://scholar.google.com/scholar?q=related:6dk-UhWoG50J:scholar.google.com/&scioq=intitle:mvvm&hl=en&as_sdt=2007"
25,"C Anderson","The model-view-viewmodel (mvvm) design pattern",2012,"Pro Business Applications with Silverlight 5","Springer","https://link.springer.com/chapter/10.1007/978-1-4302-3501-9_13","https://scholar.google.com/scholar?cites=14519220655234620428&as_sdt=2005&sciodt=2007&hl=en",5,"2023-02-26 07:52:24","","10.1007/978-1-4302-3501-9_13","","",,,,,25,2.27,25,1,11,"… to speed on the MVVM design pattern, but once you get the … Using the MVVM design pattern when you’re used to writing … at the theory behind the MVVM design pattern, then move onto …","","https://scholar.google.com/scholar?q=related:DBzGgkKifskJ:scholar.google.com/&scioq=intitle:mvvm&hl=en&as_sdt=2007"
23,"G Arcos-Medina, J Menéndez, J Vallejo","Comparative Study of Performance and Productivity of MVC and MVVM design patterns",2018,"KnE Engineering","knepublishing.com","https://www.knepublishing.com/index.php/KnE-Engineering/article/view/1498","https://scholar.google.com/scholar?cites=3559133244786381480&as_sdt=2005&sciodt=2007&hl=en",3,"2023-02-26 07:52:24","","","","",,,,,23,4.60,8,3,5,"… MVVM y MVC ha permitido determinar que el patrón MVVM … funciones tanto para el patrón MVVM como para el patrón MVC; … en el patrón MVVM la acción afecta directamente a la vista. …","https://www.knepublishing.com/index.php/KnE-Engineering/article/view/1498/3383","https://scholar.google.com/scholar?q=related:qJLGO9SUZDEJ:scholar.google.com/&scioq=intitle:mvvm&hl=en&as_sdt=2007"
21,"G Hall","Pro WPF and Silverlight MVVM: effective application development with Model-View-ViewModel",2011,"","Springer","https://link.springer.com/content/pdf/10.1007/978-1-4302-3163-9.pdf","https://scholar.google.com/scholar?cites=7721321466605126597&as_sdt=2005&sciodt=2007&hl=en",9,"2023-02-26 07:52:24","BOOK","10.1007/978-1-4302-3163-9","","",,,,,21,1.75,21,1,12,"This book was conceived from a need to explain the MVVM pattern and how it helps structure WPF and Silverlight applications. I had worked on a number of projects where these …","","https://scholar.google.com/scholar?q=related:xcOY7fakJ2sJ:scholar.google.com/&scioq=intitle:mvvm&hl=en&as_sdt=2007"
