Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
2,"Dong-Chul Lee, Kyung-Min Seo, Hee-Mun Park, B. Kim","Simulation Testing of Maritime Cyber-Physical Systems: Application of Model-View-ViewModel",2022,"","","","",1,"2023-02-26 08:25:51","","10.1155/2022/1742772","","",,,,,2,2.00,1,4,1,"From the perspective of the system of systems development, system-level functional testing is required for designing subsystems. This study utilizes modeling and simulation techniques to analyze the operational behaviors of the subsystems and confirm data communication between them. The targeted system in the study is a naval combat system (NCS), which is a typical type of defense cyber-physical system (CPS). Three types of models were designed for the simulation testing of the NCS: a combat-management model for simulating the overall computational activities, physical models to confirm the intrasubsystem behaviors, and data integration models to test the intersubsystem communications. These models are realized with the Model-View-ViewModel design pattern, which strongly facilitates graphical user interfaces being decoupled from model logic and data. We consider underwater combat scenarios as an application. Six significant physical subsystems within the NCS are simulated and tested: a ship-steering system, an inertial navigation system, a global navigation satellite system, a periscope, sonar systems, and a plotting board. We expect that the proposed work will play a principal role when analyzing the behaviors and communications of defense CPSs and providing an environment for functional testing as a digital twin.","",""
0,"Mario Fuksa","ViMoTest: a low code approach to specify ViewModel-based tests with a projectional DSL using JetBrains MPS",2022,"","","","",2,"2023-02-26 08:25:51","","10.1145/3550356.3558513","","",,,,,0,0.00,0,1,1,"Automated testing for software is a fundamental part of achieving high-quality software systems. In particular, the user interface (UI) is one suitable abstraction layer for automated tests. However, software test developers usually spend considerable effort writing automated UI tests in a maintainable way. Therefore, this work proposes a concept to design a low code approach using the ViewModel architectural pattern as an abstraction layer to develop automated UI tests. We use the Design Science Research method to design a projectional DSL as an artifact to refine our approach. As planned results, we aim to (1) develop a projectional DSL to specify ViewModel-based tests, (2) apply this novel approach in an industrial and an open-source project, and (3) perform empirical studies to get feedback for improving this approach w.r.t. creation, maintenance, and understandability of test suites. We conclude that a low code approach using a projectional DSL to specify automated tests based on ViewModels could have several benefits compared to similar approaches.","",""
0,"Rismayani Rismayani, Madyana Patasik, N. S. Layuk, Surya Saputra, A. Muhajir","Aplikasi Tracking Rekreasi dan Aktivitas Menggunakan Model View ViewModel di Provinsi Sulawesi Selatan",2022,"","","","",3,"2023-02-26 08:25:51","","10.22303/csrid.14.2.2022.176-187","","",,,,,0,0.00,0,5,1,"Sulawesi Selatan adalah sebuah provinsi di Indonesia yang terletak di pesisir barat daya Pulau Sulawesi. Daerah ini dihuni oleh banyak suku, antara lain suku Makassar, Bugis, Toraja dan Mandar. Kawasan yang hampir seluruhnya dikelilingi laut ini menawarkan berbagai aktivitas rekreasi dan objek wisata menarik yang bisa dikunjungi. Permasalahan dalam penelitian ini adalah belum adanya sistem pengelolaan informasi di Sulawesi Selatan untuk informasi di berbagai daerah di Provinsi Sulawesi Selatan dan bagaimana mengimplementasikan konsep model View ViewModel (MVVM) dalam merancang sistem pelacakan aktivitas dan rekreasi di Provinsi Sulawesi Selatan. Tujuan dari penelitian ini adalah untuk membuat sistem pelacakan aktivitas dan rekreasi berbasis android di Provinsi Sulawesi Selatan dan mengimplementasikan view viewmodel (MVVM) dalam proses pelacakan aktivitas dan rekreasi di Sulawesi Selatan. Metode dan teknologi yang digunakan adalah Model View View Model (MVVM) dengan teknologi berbasis android, Model View ViewModel (MVVM) merupakan salah satu pola arsitektur yang digunakan dalam pengembangan perangkat lunak berbasis Graphical User Interface (GUI), sedangkan android sebagai operasinya sistem untuk perangkat seluler. Hasil penelitian menunjukkan bahwa sistem ini dapat membantu wisatawan menemukan tracking aktivitas dan rekreasi di Sulawesi Selatan dan dengan penerapan View View Model (MVVM) sistem tracking aktivitas dan rekreasi menjadi lebih menarik, efektif dan efisien. Berdasarkan pengujian fungsional yang dilakukan ditemukan hasil yang valid terhadap semua fungsi dari sistem. Berdasarkan hasil kuesioner untuk mengetahui manfaat dari sistem yang dibagun diperoleh dari 50 responden hasilnya menyatakan 86, 7% bermanfaat.","",""
0,"Xiaozhen Li, Shujie Wang, Zesan Liu, Gang Wu","Design and implementation of enterprise web application common framework based on model-view-viewmodel architecture",2022,"","","","",4,"2023-02-26 08:25:51","","10.1117/12.2661040","","",,,,,0,0.00,0,4,1,"Based on the shortcomings of MVVM framework in enterprise level applications, this paper proposes a flexible common framework for enterprise level Web applications based on MVVM framework, designs core functions such as custom tag components and dynamic page component assembly mechanism and implements them based on the lightweight front-end framework knockout. The public framework designed and implemented in this paper introduces MVVM excellent architecture mode, flexible customization mode and high browser compatibility for traditional enterprises.","",""
0,"Ghani Rasyid Hika, Ida Bagus Gede Dwidasmara, I. G. Wibawa, I. K. G. Suhartana, I. P. B. Mahendra, M. A. Raharja","Pengembangan Aplikasi Rekomendasi Pet Shop Berbasis Android Menggunakan Arsitektur MVVM (Model-View-Viewmodel)",2022,"","","","",5,"2023-02-26 08:25:51","","10.24843/jlk.2022.v11.i02.p15","","",,,,,0,0.00,0,6,1,"At this time, keeping pets such as cats has become a lifestyle for pet lovers, sometimes many consider these pets as their own family. Therefore, pet owners always provide the best care for their beloved animals. Sometimes people are confused about which place is the best for their pet, which one is cheaper, which one is suitable for the type of pet, the benefits, and the location is not too far away. This system uses one of the methods in the Decision Support System. By using the Analytical Hierarchy Process (AHP) and Technique for Order Preference by Similarity to Ideal Solution (TOPSIS) methods in a Decision Support System, it is hoped that it can help solve problems in semi-structured areas such as the problems above. This study aims to assist users in determining which pet shop they want to visit.","",""
0,"Adha Setiawan Wiyana, M. Putera, S. R. Natasia","Sistem Presensi Online Menggunakan Arsitektur Pengembangan Perangkat Lunak Model-View-Viewmodel",2021,"","","","",6,"2023-02-26 08:25:51","","10.34148/teknika.v10i3.398","","",,,,,0,0.00,0,3,2,"PT. Lintasmaya Network Samarinda adalah perusahaan yang bergerak di bidang jasa dengan memberikan layanan IT Support kepada perusahaan lain. Sebagai perusahaan yang bergerak di bidang jasa, PT. Lintasmaya Network Samarinda perlu memastikan untuk dapat memberikan layanan terbaik kepada konsumen dengan memperhatikan kinerja karyawan. Agar hal tersebut dapat tercapai, maka solusi yang dipilih oleh PT. Lintamaya Network Samarinda adalah membangun sistem presensi berbasis aplikasi mobile. Hanya saja karena PT. Lintasmaya Network Samarinda tidak memiliki kemampuan dan pengalaman dalam mengembangkan sebuah aplikasi mobile, sistem presensi tersebut tidak dapat berjalan dengan baik. Berangkat dari masalah tersebut, maka diadakan penelitian pengembangan sistem presensi berbasis aplikasi mobile dengan menggunakan metode pengembangan perangkat lunak Personal Extreme Programming (PXP) dan arsitektur Model-View-Viewodel (MVVM). Metode pengembangan perangkat lunak PXP terdiri dari tujuh proses yaitu requirement, planning, iteration initialization, design, implementation, system testing, dan retrospective. Sedangkan aristektur MVVM adalah penulisan kode yang dibagi menjadi tiga bagian terdiri dari view, viewmodel, dan model. Adapun hal lain yang menjadi perhatian dalam penelitian ini adalah penerapan IMEI untuk mengenali perangkat, GPS untuk mendapatkan lokasi, dan JWT Authentication untuk keamanan fitur. Melalui penerapan tersebut, sistem dapat memberikan hal positif seperti data yang akurat dan penggunaan fitur yang terbatas hanya untuk pihak perusahaan.","",""
0,"Edo Arribe, Aryanto, Rudi Asrianto","APLIKASI E-MARKETPLACE MENGGUNAKAN ARSITEKTUR MVVM (MODEL-VIEW-VIEWMODEL) BERBASIS ANDROID",2021,"","","","",7,"2023-02-26 08:25:51","","10.37859/jf.v11i2.2762","","",,,,,0,0.00,0,3,2,"<jats:p>a</jats:p>","",""
0,"Waseem Sheikh, Nadeem Sheikh","A Model-View-ViewModel (MVVM) Application Framework for Hearing Impairment Diagnosis - Class Inheritance Architecture",2020,"","","","",8,"2023-02-26 08:25:51","","10.1109/IETC47856.2020.9249215","","",,,,,0,0.00,0,2,3,"Around 466 million people worldwide (over 5% of the world's population) have disabling hearing loss, and out of these 34 million are children. Estimates suggest that by 2050, over 900 million people worldwide will have disabling hearing loss. The annual global cost of unaddressed hearing loss amounts to US$ 750 billion. Early detection of hearing loss can reduce its impact on an individual's life in addition to saving a huge cost. This paper, the last one in a series of three papers, presents the class inheritance architecture of an open-source application framework for hearing impairment diagnosis. The framework is built using the Model-View-ViewModel (MVVM) pattern which separates the development of graphical user interface (GUI) from the development of business and back-end logic. Some of the benefits of the MVVM pattern include reusable components, independent development of GUI and business or back-end logic, flexibility to modify GUI without having to change business or back-end logic, ease of unit testing, and reduced maintenance overhead. The proposed framework along with the open-source code makes it possible to easily extend the application functionality thus enabling other researchers and practitioners to develop their own versions of hearing loss diagnosis applications. The proposed software was evaluated by an otolaryngologist and found to be very beneficial in assisting a clinician to reach a hearing impairment diagnosis conclusion more methodically, swiftly and accurately.","",""
0,"Waseem Sheikh, Nadeem Sheikh","A Model-View-ViewModel (MVVM) Application Framework for Hearing Impairment Diagnosis - Design and Features",2020,"","","","",9,"2023-02-26 08:25:51","","10.1109/IETC47856.2020.9249124","","",,,,,0,0.00,0,2,3,"Around 466 million people worldwide (over 5% of the world's population) have disabling hearing loss, and out of these 34 million are children. Estimates suggest that by 2050, over 900 million people worldwide will have disabling hearing loss. The annual global cost of unaddressed hearing loss amounts to US$ 750 billion. Early detection of hearing loss can reduce its impact on an individual's life in addition to saving a huge cost. This paper, the first in a series of three papers, presents the design and features of an open-source application framework for hearing impairment diagnosis. The framework is built using the Model-View-ViewModel (MVVM) pattern which separates the development of graphical user interface (GUI) from the development of business and back-end logic. Some of the benefits of the MVVM pattern include reusable components, independent development of GUI and business or back-end logic, flexibility to modify GUI without having to change business or back-end logic, ease of unit testing, and reduced maintenance overhead. The proposed framework along with the open-source code makes it possible to easily extend the application functionality thus enabling other researchers and practitioners to develop their own versions of hearing loss diagnosis applications. The proposed software was evaluated by an otolaryngologist and found to be very beneficial in assisting a clinician to reach a hearing impairment diagnosis conclusion more methodically, swiftly and accurately.","",""
0,"M. S. Arif, A. Musthafa, D. Muriyatmoko","Implementation of Model-View-ViewModel (MVVM) Architecture Pattern in the Sistem Informasi Akademik UNIDA Gontor Mobile Application",2020,"","","","",10,"2023-02-26 08:25:51","","10.5281/ZENODO.3710686","","",,,,,0,0.00,0,3,3,"Software architecture primarily tuned for moderating the rising software complexities and changes. Model-View-ViewModel (MVVM) is a software architectural pattern that facilitates a separation of development of the graphical user interface from the development of the back-end logic (the data model). University of Darussalam Gontor (UNIDA Gontor) is having an Academic System called Sistem Informasi Akademik (SIAKAD) which supports the management of its college’s data administration. Currently, the SIAKAD UNIDA Gontor’s performance is still far from optimal, mainly because some of its features aren’t user-friendly yet, especially when the SIAKAD UNIDA Gontor accessed from the mobile devices. Therefore, this research aims to implement the MVVM architecture pattern in the SIAKAD UNIDA Gontor mobile application, to increase its user-friendly aspect, especially for Android device users. This research is carried out with Waterfall development method, using Kotlin programming language and utilising Android Jetpack. Results from the app testing with Black Box method show that the application is running well and have no error. Next, results from the questionnaire distributed to the users (students, lecturers and BAAK staffs) show that the application run well and satisfying. From those trial results, show that the implementation of MVVM on SIAKAD UNIDA Gontor Android application has been successful according to the scenario and ready to be applied in the even semester of 2019/2020 campus’ academic year and so on (https://play.google.com/store/apps/details?id=com.amoled.sidago). Further research and development, can be directed to the addition of new features and can support another mobile operating system, such as iOS, Tizen, Harmony OS, etc.","",""
